,id,Song title,Artist,Current Ranking,Number of weeks on billboard,Peak Ranking,Date,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumnetalness,Liveliness,Valence,Tempo,Duration ms,Time Signature
0,1,All I Want For Christmas Is You,Mariah Carey,1,17,1,2022-01-01,0.626,0.357,2.0,-7.166,0.0,0.0631,0.354,0.0,0.0552,0.401,179.869,238867.0,3.0
1,2,Last Christmas,Wham!,2,15,2,2022-01-01,0.62,0.573,0.0,-11.893,1.0,0.0423,0.271,0.0,0.0607,0.897,81.548,231333.0,4.0
2,3,Rockin' Around The Christmas Tree,Brenda Lee,3,13,3,2022-01-01,0.589,0.472,8.0,-8.749,1.0,0.0502,0.614,0.0,0.505,0.898,67.196,126267.0,4.0
3,4,Jingle Bell Rock,Bobby Helms,4,13,4,2022-01-01,0.754,0.424,2.0,-8.463,1.0,0.0363,0.643,0.0,0.0652,0.806,119.705,130973.0,4.0
4,5,abcdefu,GAYLE,5,6,2,2022-01-01,0.695,0.54,4.0,-5.692,1.0,0.0493,0.299,0.0,0.367,0.415,121.932,168602.0,4.0
5,6,Santa Tell Me,Ariana Grande,6,13,5,2022-01-01,0.778,0.317,1.0,-10.732,0.0,0.334,0.592,0.0,0.0881,0.327,140.048,178627.0,4.0
6,7,Easy On Me,Adele,7,11,1,2022-01-01,0.603,0.67,2.0,-3.882,0.0,0.0249,0.00408,1.68e-06,0.112,0.446,107.993,242974.0,4.0
7,8,It's The Most Wonderful Time Of The Year,Andy Williams,8,12,7,2022-01-01,0.24,0.598,7.0,-8.435,1.0,0.0369,0.766,0.0,0.117,0.776,201.629,151933.0,3.0
8,9,It's Beginning To Look A Lot Like Christmas,Michael Buble,9,13,6,2022-01-01,0.535,0.548,1.0,-6.51,1.0,0.037,0.533,1.48e-06,0.123,0.477,115.144,237333.0,3.0
9,10,Stay,The Kid LAROI & Justin Bieber,10,24,1,2022-01-01,0.662,0.398,11.0,-6.691,0.0,0.0275,0.716,0.0,0.111,0.468,107.001,145850.0,4.0
10,11,Feliz Navidad,Jose Feliciano,11,12,9,2022-01-01,0.513,0.831,2.0,-9.004,1.0,0.0383,0.55,0.0,0.336,0.963,148.837,182067.0,4.0
11,12,Underneath The Tree,Kelly Clarkson,12,12,8,2022-01-01,0.662,0.741,0.0,-5.406,1.0,0.0334,0.00165,0.0303,0.114,0.404,131.0,188960.0,4.0
12,13,A Holly Jolly Christmas,Burl Ives,13,11,13,2022-01-01,0.683,0.375,0.0,-13.056,1.0,0.0303,0.579,0.0,0.076,0.888,140.467,135533.0,4.0
13,14,Cold Heart (PNAU Remix),Elton John & Dua Lipa,14,19,5,2022-01-01,0.601,0.532,10.0,-9.119,1.0,0.0286,0.432,6.25e-06,0.0925,0.341,136.571,281613.0,4.0
14,15,Merry Christmas,Ed Sheeran & Elton John,15,3,15,2022-01-01,0.788,0.859,2.0,-2.724,1.0,0.0856,0.281,0.0,0.0424,0.822,141.02,207853.0,4.0
15,16,Shivers,Ed Sheeran,16,15,3,2022-01-01,0.788,0.859,2.0,-2.724,1.0,0.0856,0.281,0.0,0.0424,0.822,141.02,207853.0,4.0
16,17,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,17,12,11,2022-01-01,0.471,0.146,10.0,-13.6,1.0,0.0309,0.782,0.0,0.0888,0.595,78.554,190400.0,4.0
17,18,Sleigh Ride,The Ronettes,18,11,13,2022-01-01,0.512,0.771,4.0,-7.006,1.0,0.0402,0.168,0.0,0.0895,0.803,129.639,160907.0,4.0
18,19,Heat Waves,Glass Animals,19,51,6,2022-01-01,0.761,0.525,11.0,-6.9,1.0,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,238805.0,4.0
19,20,Industry Baby,Lil Nas X & Jack Harlow,20,22,2,2022-01-01,0.637,0.715,2.0,-4.971,0.0,0.0455,0.148,0.0,0.0892,0.308,141.872,210576.0,4.0
20,21,Enemy,Imagine Dragons X JID,21,8,15,2022-01-01,0.776,0.78,10.0,-4.374,0.0,0.128,0.0622,0.0,0.081,0.666,124.949,204347.0,4.0
21,22,Mistletoe,Justin Bieber,22,12,19,2022-01-01,0.601,0.741,2.0,-5.569,1.0,0.0478,0.185,2.91e-05,0.415,0.441,153.96,153190.0,4.0
22,23,Bad Habits,Ed Sheeran,23,26,1,2022-01-01,0.788,0.859,2.0,-2.724,1.0,0.0856,0.281,0.0,0.0424,0.822,141.02,207853.0,4.0
23,24,The Christmas Song (Merry Christmas To You),Nat King Cole,24,11,16,2022-01-01,0.425,0.373,4.0,-7.543,1.0,0.0801,0.686,0.0,0.077,0.663,78.231,155307.0,4.0
24,25,Love Nwantiti (Ah Ah Ah),CKay,25,15,2,2022-01-01,0.727,0.739,8.0,-3.805,1.0,0.0411,0.365,0.00137,0.161,0.533,93.005,145800.0,4.0
25,26,Snowman,Sia,26,16,25,2022-01-01,0.468,0.779,9.0,-4.839,1.0,0.0779,0.112,0.000373,0.101,0.26,173.799,217747.0,4.0
26,27,Christmas (Baby Please Come Home),Darlene Love,27,11,27,2022-01-01,0.325,0.759,8.0,-7.146,1.0,0.053,0.395,0.000362,0.0773,0.36,126.627,166453.0,4.0
27,28,White Christmas,Bing Crosby,28,11,24,2022-01-01,0.317,0.158,9.0,-16.485,1.0,0.0381,0.673,0.353,0.338,0.247,130.503,177480.0,3.0
28,29,Wonderful Christmastime,Paul McCartney,29,11,18,2022-01-01,0.471,0.494,7.0,-10.407,1.0,0.0312,0.387,0.0944,0.617,0.373,79.255,229827.0,4.0
29,30,It's Beginning To Look Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,30,10,28,2022-01-01,0.724,0.276,7.0,-12.25,1.0,0.0599,0.76,0.0,0.116,0.718,112.874,155933.0,4.0
30,31,Pepas,Farruko,31,23,7,2022-01-01,0.762,0.766,7.0,-3.955,1.0,0.0343,0.00776,6.98e-05,0.128,0.442,130.001,287120.0,4.0
31,32,Broadway Girls,Lil Durk Featuring Morgan Wallen,32,1,32,2022-01-01,0.898,0.64,5.0,-8.796,0.0,0.255,0.0212,0.0,0.0919,0.68,149.988,153600.0,4.0
32,33,Happy Xmas (War Is Over),John & Yoko/The Plastic Ono Band With The Harlem Community Choir,33,9,26,2022-01-01,0.422,0.264,8.0,-7.064,1.0,0.0322,0.922,0.0,0.132,0.331,119.93,269560.0,4.0
33,34,Save Your Tears,The Weeknd & Ariana Grande,34,51,1,2022-01-01,0.531,0.525,1.0,-6.5,0.0,0.0671,0.232,0.0,0.441,0.502,66.9,232857.0,4.0
34,35,Driving Home For Christmas,Chris Rea,35,9,27,2022-01-01,0.582,0.846,0.0,-2.771,1.0,0.0451,0.022,0.0,0.133,0.736,92.004,165587.0,4.0
35,36,Run Rudolph Run,Chuck Berry,36,10,22,2022-01-01,0.534,0.803,10.0,-9.129,1.0,0.0743,0.741,6.07e-05,0.307,0.969,167.983,161560.0,4.0
36,37,Do They Know It's Christmas?,Band Aid,37,10,20,2022-01-01,0.598,0.643,0.0,-6.933,1.0,0.0364,0.164,3.35e-05,0.0992,0.349,115.41,222533.0,4.0
37,38,Do It To It,Acraze Featuring Cherish,38,8,25,2022-01-01,0.854,0.806,11.0,-8.262,0.0,0.0886,0.0209,0.0542,0.0703,0.637,124.927,157890.0,4.0
38,39,Levitating,Dua Lipa,39,64,2,2022-01-01,0.702,0.825,6.0,-3.787,0.0,0.0601,0.00883,0.0,0.0674,0.915,102.977,203064.0,4.0
39,40,Holly Jolly Christmas,Michael Buble,40,10,29,2022-01-01,0.535,0.548,1.0,-6.51,1.0,0.037,0.533,1.48e-06,0.123,0.477,115.144,237333.0,3.0
40,41,Butter,BTS,41,31,1,2022-01-01,0.724,0.818,8.0,-3.747,1.0,0.168,0.0201,0.0,0.0358,0.696,77.004,204940.0,4.0
41,42,Merry Christmas Everyone,Shakin' Stevens,42,9,40,2022-01-01,0.534,0.904,9.0,-3.315,1.0,0.0369,0.129,0.0,0.128,0.96,202.899,220160.0,4.0
42,43,All Too Well (Taylor's Version),Taylor Swift,43,6,1,2022-01-01,0.637,0.643,4.0,-6.571,1.0,0.0519,0.13,1.8e-06,0.142,0.533,97.008,200690.0,4.0
43,44,Jingle Bells,Frank Sinatra,44,9,44,2022-01-01,0.278,0.427,2.0,-8.688,1.0,0.0311,0.351,0.0,0.145,0.243,150.836,276253.0,4.0
44,45,My Universe,Coldplay x BTS,45,13,1,2022-01-01,0.371,0.268,1.0,-10.506,1.0,0.0281,0.748,0.0517,0.104,0.165,102.617,227093.0,3.0
45,46,I Hate U,SZA,46,3,11,2022-01-01,0.644,0.735,8.0,-5.747,1.0,0.0391,0.0521,0.144,0.161,0.418,88.98,153947.0,4.0
46,47,Super Gremlin,Kodak Black,47,4,45,2022-01-01,0.943,0.595,5.0,-8.372,0.0,0.191,0.0673,0.0,0.0839,0.815,117.532,165291.0,4.0
47,48,Sausage Rolls For Everyone,LadBaby Featuring Ed Sheeran & Elton John,48,1,48,2022-01-01,0.701,0.86,0.0,-3.681,1.0,0.0444,0.0145,0.0,0.0922,0.623,120.024,207027.0,4.0
48,49,Woman,Doja Cat,49,23,11,2022-01-01,0.801,0.601,8.0,-7.574,0.0,0.255,0.0777,3.23e-05,0.145,0.74,159.969,182907.0,4.0
49,50,Happier Than Ever,Billie Eilish,50,21,6,2022-01-01,0.412,0.236,4.0,-15.159,0.0,0.0379,0.83,0.00653,0.147,0.119,140.214,281381.0,4.0
50,51,Good 4 U,Olivia Rodrigo,51,32,1,2022-01-01,0.563,0.664,9.0,-5.044,1.0,0.154,0.335,0.0,0.0849,0.688,166.928,178147.0,4.0
51,52,Blinding Lights,The Weeknd,52,68,2,2022-01-01,0.531,0.525,1.0,-6.5,0.0,0.0671,0.232,0.0,0.441,0.502,66.9,232857.0,4.0
52,53,Santa Baby,Eartha Kitt With Henri Rene And His Orchestra,53,9,53,2022-01-01,0.704,0.103,5.0,-15.056,0.0,0.0607,0.897,0.0,0.192,0.468,84.475,206507.0,4.0
53,54,Rudolph The Red-Nosed Reindeer,Gene Autry,54,9,54,2022-01-01,0.834,0.371,1.0,-11.99,1.0,0.0358,0.799,0.0,0.275,0.976,96.628,150267.0,4.0
54,55,(There's No Place Like) Home For The Holidays (1959),Perry Como With Mitchell Ayers And His Orchestra,55,9,55,2022-01-01,0.724,0.276,7.0,-12.25,1.0,0.0599,0.76,0.0,0.116,0.718,112.874,155933.0,4.0
55,56,Happy Holiday/The Holiday Season,Andy Williams,56,8,56,2022-01-01,0.24,0.598,7.0,-8.435,1.0,0.0369,0.766,0.0,0.117,0.776,201.629,151933.0,3.0
56,57,Like It's Christmas,Jonas Brothers,57,7,57,2022-01-01,0.842,0.734,1.0,-5.065,0.0,0.0588,0.0427,0.0,0.106,0.952,137.958,181027.0,4.0
57,58,Santa Claus Is Comin' To Town,Jackson 5,58,9,44,2022-01-01,0.469,0.538,8.0,-13.559,1.0,0.0571,0.305,0.00012,0.37,0.886,196.605,176333.0,4.0
58,59,"Let It Snow, Let It Snow, Let It Snow",Frank Sinatra With The B. Swanson Quartet,59,9,41,2022-01-01,0.278,0.427,2.0,-8.688,1.0,0.0311,0.351,0.0,0.145,0.243,150.836,276253.0,4.0
59,60,Kiss Me More,Doja Cat Featuring SZA,60,37,3,2022-01-01,0.801,0.601,8.0,-7.574,0.0,0.255,0.0777,3.23e-05,0.145,0.74,159.969,182907.0,4.0
60,61,You Make It Feel Like Christmas,Gwen Stefani Featuring Blake Shelton,61,7,61,2022-01-01,0.756,0.77,1.0,-3.502,1.0,0.0343,0.191,0.0,0.178,0.73,119.961,246467.0,4.0
61,62,Hallelujah,Pentatonix,62,9,62,2022-01-01,0.364,0.378,7.0,-7.381,0.0,0.0331,0.47,0.0,0.339,0.366,89.918,268960.0,3.0
62,63,Have Yourself A Merry Little Christmas,Michael Buble,63,9,52,2022-01-01,0.535,0.548,1.0,-6.51,1.0,0.037,0.533,1.48e-06,0.123,0.477,115.144,237333.0,3.0
63,64,Need To Know,Doja Cat,64,28,6,2022-01-01,0.801,0.601,8.0,-7.574,0.0,0.255,0.0777,3.23e-05,0.145,0.74,159.969,182907.0,4.0
64,65,Little Saint Nick,The Beach Boys,65,9,53,2022-01-01,0.682,0.635,0.0,-10.05,1.0,0.0346,0.00863,0.0,0.137,0.927,115.584,217693.0,4.0
65,66,Ghost,Justin Bieber,66,14,30,2022-01-01,0.601,0.741,2.0,-5.569,1.0,0.0478,0.185,2.91e-05,0.415,0.441,153.96,153190.0,4.0
66,67,Please Come Home For Christmas,Eagles,67,9,63,2022-01-01,0.579,0.508,2.0,-9.484,1.0,0.027,0.00574,0.000494,0.0575,0.609,147.125,391376.0,4.0
67,68,Step Into Christmas,Elton John,68,8,55,2022-01-01,0.601,0.532,10.0,-9.119,1.0,0.0286,0.432,6.25e-06,0.0925,0.341,136.571,281613.0,4.0
68,69,Montero (Call Me By Your Name),Lil Nas X,69,39,1,2022-01-01,0.637,0.715,2.0,-4.971,0.0,0.0455,0.148,0.0,0.0892,0.308,141.872,210576.0,4.0
69,70,Beggin',Maneskin,70,29,3,2022-01-01,0.714,0.8,11.0,-4.808,0.0,0.0504,0.127,0.0,0.359,0.589,134.002,211560.0,4.0
70,71,Infinity,Jaymes Young,71,4,66,2022-01-01,0.671,0.673,11.0,-6.941,0.0,0.0444,0.148,5.29e-05,0.304,0.494,121.963,237720.0,4.0
71,72,One Right Now,Post Malone & The Weeknd,72,7,9,2022-01-01,0.733,0.67,5.0,-6.009,1.0,0.0751,0.121,0.0,0.121,0.472,100.964,192841.0,4.0
72,73,Deck The Halls,Nat King Cole,73,8,73,2022-01-01,0.425,0.373,4.0,-7.543,1.0,0.0801,0.686,0.0,0.077,0.663,78.231,155307.0,4.0
73,74,Oh My God,Adele,74,5,3,2022-01-01,0.603,0.67,2.0,-3.882,0.0,0.0249,0.00408,1.68e-06,0.112,0.446,107.993,242974.0,4.0
74,75,Smokin Out The Window,Silk Sonic (Bruno Mars & Anderson .Paak),75,7,8,2022-01-01,0.576,0.441,7.0,-7.873,1.0,0.0408,0.0361,0.795,0.111,0.0389,84.974,184118.0,4.0
75,76,Fairytale Of New York,The Pogues Featuring Kirsty MacColl,76,8,49,2022-01-01,0.511,0.464,7.0,-10.765,1.0,0.0383,0.256,4.2e-06,0.132,0.289,123.412,225426.0,4.0
76,77,Blue Christmas,Elvis Presley,77,9,36,2022-01-01,0.396,0.293,2.0,-14.062,1.0,0.0275,0.941,0.000196,0.105,0.343,100.307,182360.0,3.0
77,78,Yonaguni,Bad Bunny,78,29,3,2022-01-01,0.65,0.715,5.0,-5.198,0.0,0.253,0.0993,0.000291,0.126,0.187,106.672,243717.0,4.0
78,79,Cozy Little Christmas,Katy Perry,79,7,79,2022-01-01,0.652,0.812,3.0,-3.797,0.0,0.0409,0.00125,3.01e-05,0.667,0.72,126.023,230733.0,4.0
79,80,Dynamite,BTS,80,68,1,2022-01-01,0.724,0.818,8.0,-3.747,1.0,0.168,0.0201,0.0,0.0358,0.696,77.004,204940.0,4.0
80,81,Perfect,Ed Sheeran,81,68,30,2022-01-01,0.788,0.859,2.0,-2.724,1.0,0.0856,0.281,0.0,0.0424,0.822,141.02,207853.0,4.0
81,82,Money,Lisa,82,15,10,2022-01-01,0.831,0.554,1.0,-9.998,0.0,0.218,0.161,6.12e-05,0.152,0.396,140.026,168228.0,4.0
82,83,Where Are You Now,Lost Frequencies & Calum Scott,83,15,40,2022-01-01,0.671,0.636,6.0,-8.117,0.0,0.103,0.515,0.000411,0.172,0.262,120.966,148197.0,4.0
83,84,"Baby, It's Cold Outside",Dean Martin,84,7,84,2022-01-01,0.471,0.146,10.0,-13.6,1.0,0.0309,0.782,0.0,0.0888,0.595,78.554,190400.0,4.0
84,85,Thats What I Want,Lil Nas X,85,14,4,2022-01-01,0.637,0.715,2.0,-4.971,0.0,0.0455,0.148,0.0,0.0892,0.308,141.872,210576.0,4.0
85,86,Christmastime Is Here,Vince Guaraldi Trio,86,7,86,2022-01-01,0.367,0.122,9.0,-21.34,0.0,0.0319,0.984,4.37e-05,0.172,0.104,75.265,163093.0,3.0
86,87,Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole,87,16,21,2022-01-01,0.752,0.612,8.0,-6.796,1.0,0.213,0.164,0.0,0.115,0.515,160.035,221968.0,4.0
87,88,"You're A Mean One, Mr. Grinch",Thurl Ravenscroft,88,6,88,2022-01-01,0.517,0.484,2.0,-10.93,0.0,0.318,0.952,0.0075,0.129,0.42,141.914,315707.0,3.0
88,89,Lo Siento BB:/,"Tainy, Bad Bunny & Julieta Venegas",89,12,12,2022-01-01,0.639,0.703,4.0,-6.33,0.0,0.0794,0.0889,1.78e-06,0.0865,0.138,169.888,207301.0,4.0
89,90,Life Goes On,Oliver Tree,90,16,26,2022-01-01,0.587,0.742,6.0,-6.64,0.0,0.0529,0.0128,0.00107,0.146,0.199,145.007,206000.0,4.0
90,91,What Christmas Means To Me,John Legend Featuring Stevie Wonder,91,6,91,2022-01-01,0.422,0.264,8.0,-7.064,1.0,0.0322,0.922,0.0,0.132,0.331,119.93,269560.0,4.0
91,92,Drivers License,Olivia Rodrigo,92,50,1,2022-01-01,0.563,0.664,9.0,-5.044,1.0,0.154,0.335,0.0,0.0849,0.688,166.928,178147.0,4.0
92,93,Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,93,40,1,2022-01-01,0.601,0.741,2.0,-5.569,1.0,0.0478,0.185,2.91e-05,0.415,0.441,153.96,153190.0,4.0
93,94,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,94,68,47,2022-01-01,0.733,0.67,5.0,-6.009,1.0,0.0751,0.121,0.0,0.121,0.472,100.964,192841.0,4.0
94,95,Zankyosanka,Aimer,95,3,62,2022-01-01,0.367,0.896,11.0,-4.002,1.0,0.091,0.000627,0.0,0.207,0.38,170.863,184893.0,4.0
95,96,Traitor,Olivia Rodrigo,96,31,7,2022-01-01,0.563,0.664,9.0,-5.044,1.0,0.154,0.335,0.0,0.0849,0.688,166.928,178147.0,4.0
96,97,"Merry Christmas, Happy Holidays",'N Sync,97,5,97,2022-01-01,0.61,0.926,8.0,-4.843,0.0,0.0479,0.031,0.0012,0.0821,0.861,172.638,200400.0,4.0
97,98,Christmas Tree Farm (Old Timey Version),Taylor Swift,98,4,98,2022-01-01,0.637,0.643,4.0,-6.571,1.0,0.0519,0.13,1.8e-06,0.142,0.533,97.008,200690.0,4.0
98,99,Eleven,IVE,99,3,68,2022-01-01,0.329,0.277,10.0,-13.111,0.0,0.0302,0.971,0.024,0.0971,0.121,159.719,289560.0,3.0
99,100,The Motto,Tiesto & Ava Max,100,7,89,2022-01-01,0.696,0.793,8.0,-5.733,1.0,0.097,0.0683,3.78e-06,0.18,0.698,120.003,172253.0,4.0
100,101,Love Tonight,Shouse,101,26,20,2022-01-01,0.621,0.989,10.0,-4.225,0.0,0.0434,0.015,0.357,0.184,0.0348,126.002,158095.0,4.0
101,102,Winter Wonderland,Darlene Love,102,3,102,2022-01-01,0.325,0.759,8.0,-7.146,1.0,0.053,0.395,0.000362,0.0773,0.36,126.627,166453.0,4.0
102,103,I'll Be Home For Christmas,Michael Buble,103,4,103,2022-01-01,0.535,0.548,1.0,-6.51,1.0,0.037,0.533,1.48e-06,0.123,0.477,115.144,237333.0,3.0
103,104,Knife Talk,Drake Featuring 21 Savage & Project Pat,104,16,6,2022-01-01,0.561,0.52,11.0,-9.342,0.0,0.244,0.0503,1.86e-06,0.355,0.424,153.15,239360.0,3.0
104,105,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),105,42,2,2022-01-01,0.576,0.441,7.0,-7.873,1.0,0.0408,0.0361,0.795,0.111,0.0389,84.974,184118.0,4.0
105,106,Astronaut In The Ocean,Masked Wolf,106,48,3,2022-01-01,0.778,0.695,4.0,-6.865,0.0,0.0913,0.175,0.0,0.15,0.472,149.996,132780.0,4.0
106,107,Todo de Ti,Rauw Alejandro,107,31,3,2022-01-01,0.834,0.828,11.0,-2.657,0.0,0.0452,0.21,5.91e-06,0.103,0.58,102.019,195294.0,4.0
107,108,I'll Be Home For Christmas,Camila Cabello,108,2,108,2022-01-01,0.765,0.523,2.0,-4.333,1.0,0.03,0.184,3.56e-05,0.132,0.394,104.988,217307.0,4.0
108,109,Sweater Weather,The Neighbourhood,109,65,55,2022-01-01,0.612,0.807,10.0,-2.81,1.0,0.0336,0.0495,0.0177,0.101,0.398,124.053,240400.0,4.0
109,110,One More Sleep,Leona Lewis,110,3,103,2022-01-01,0.638,0.656,5.0,-5.886,1.0,0.0357,0.188,0.0,0.146,0.225,104.036,262467.0,4.0
